peak_index,prev_sharpness_preonly,prev_depth,prev_sharpness,sum_depth_preonly,sum_sharpness_preonly,next_depth,sum_sharpness,sum_depth,next_sharpness,next_sharpness_preonly,next_depth_preonly,prev_depth_preonly
239,55.721220,91.715024,75.268746,55.236275,33.634320,30.160909,49.306906,62.650049,32.405957,42.900747,39.913104,86.161657
243,125.490435,99.957424,112.475803,81.672045,89.201853,24.504759,93.522361,76.881772,32.799797,4.897156,4.754871,106.004028
247,88.990417,54.839069,54.202843,72.520927,114.858239,70.936486,65.255336,53.277166,82.350531,103.970221,73.489037,93.663631
249,46.210745,33.529966,34.309277,26.776258,46.631645,85.360154,45.521414,64.417713,80.201501,69.402502,55.703792,45.592479
263,18.011865,97.999998,70.999998,115.903415,43.979068,124.999999,120.999997,124.999998,124.999998,94.963562,125.928923,17.010045
275,71.000000,20.192896,21.123659,125.000000,121.000000,42.205251,11.272018,6.294279,46.195348,125.000000,125.000000,98.000000
277,21.002270,20.008262,21.006492,6.005402,11.004994,42.007263,11.009397,6.010850,46.005130,46.003586,42.003768,20.003541
294,114.000000,39.047015,27.048127,126.000000,108.000000,116.001637,51.031515,89.020451,99.988915,80.000000,119.000000,124.000000
301,27.000000,88.069474,86.638284,89.000000,51.000000,80.518996,61.568810,86.735255,49.420696,100.000000,116.000000,39.000000
308,105.999996,104.018783,106.010617,86.000000,64.999999,68.956294,65.020197,86.025978,32.996998,33.000003,69.000002,103.999997
317,117.000000,77.500073,79.499984,112.000000,85.000000,32.500109,55.500039,61.500088,35.500102,30.000000,27.000001,123.000000
319,62.170607,56.489096,62.173337,38.163084,41.867544,35.055247,41.876471,38.181097,38.054413,38.041644,35.041644,56.473669
329,71.999987,79.499985,53.500232,102.999959,73.999979,102.000047,71.500160,105.500002,93.000034,83.999981,83.999979,111.999964
338,35.004566,77.923043,129.764549,107.999383,69.000617,121.994587,126.856040,112.987161,107.984764,101.997779,119.995558,47.008021
347,130.000000,17.679711,27.357636,113.000000,127.000000,21.437162,17.320410,7.629515,23.211018,108.000000,122.000000,78.000000
349,3.000536,31.578440,49.165233,1.000473,1.000532,29.333442,32.723981,14.821541,31.432595,15.000393,14.000456,3.000317
351,68.795273,53.549601,74.473298,18.545407,44.863516,48.354615,56.891867,33.218285,47.904485,36.931758,33.738583,42.477164
357,95.968525,34.815952,35.564901,87.567739,101.713247,31.227135,28.339562,24.106143,27.804724,88.696481,102.574185,94.734427
359,16.939633,25.020107,22.011175,4.174377,4.839867,19.955773,20.263185,13.069060,23.501359,8.032800,8.696560,15.938119
364,47.565094,75.949205,89.353474,70.117427,116.533005,65.353357,105.361470,52.870222,82.174061,124.483191,92.881194,82.117407
366,104.997003,71.656211,106.310189,54.901455,115.774651,43.679119,89.804662,39.700990,52.001437,81.383922,66.933344,77.133431
368,104.215062,71.892855,113.517996,27.200233,67.844393,29.003700,81.415598,34.648332,32.712812,34.694482,30.083946,65.405410
370,123.094600,76.242589,108.714203,37.932393,93.424399,21.091308,71.761673,37.302190,23.090600,31.361715,28.394853,74.908120
373,86.199789,78.937443,86.199391,36.982665,38.037461,9.423831,38.037732,36.985313,9.842697,9.841562,9.422797,78.935923
383,76.000001,99.686645,74.829035,104.999979,44.999994,29.708243,39.627508,76.920582,32.762304,38.999990,35.999991,117.999988
386,74.265928,70.671756,61.654030,46.041568,33.728535,31.990982,32.288205,40.573082,36.946573,25.127428,22.127428,79.850427
390,31.150404,32.383079,22.206761,28.454550,30.100247,56.266809,22.340101,17.679478,66.937691,66.808340,57.142735,51.162423
392,15.946331,29.188438,23.102106,12.692103,19.787388,46.480027,17.371312,13.046491,55.158181,72.565371,60.388853,21.583997
395,29.205670,37.535331,37.194026,13.230537,11.005179,30.128709,18.683544,12.522089,33.753675,31.062249,26.671392,38.866785
397,42.670626,39.079425,40.137529,12.491655,23.819867,28.217348,21.776392,12.741540,32.026557,36.055285,32.962196,36.916665
400,34.829676,39.091474,41.754747,9.448478,8.210980,43.893339,41.467145,19.777496,57.254490,12.384077,11.956609,42.804209
402,44.714430,36.472359,44.487359,24.960963,56.637848,59.770323,55.113307,23.792386,79.086709,74.197671,55.340484,38.848323
404,44.911694,37.098072,47.248047,23.875707,57.274983,64.093076,57.332787,26.425757,84.173022,86.621482,65.771724,34.424475
410,114.821438,67.955970,68.968596,93.819100,57.988436,71.493216,67.482235,110.888005,63.029277,13.184386,13.133759,113.796218
425,23.050856,100.000000,62.000000,127.981206,76.989497,50.000000,43.000000,80.000000,57.000000,112.944722,129.935325,22.050856
432,62.000000,100.000063,61.999996,80.000000,43.000000,49.999907,42.999894,80.000068,56.999818,57.000000,50.000000,100.000000
444,61.000000,46.283949,32.342323,96.000000,18.000000,60.361285,55.020346,51.970856,75.215668,14.000000,28.000000,115.000000
446,8.977854,27.694376,34.529678,40.509711,70.889181,68.866462,65.367945,32.842740,90.624617,103.304683,74.819931,16.157923
448,47.183836,31.015228,47.183837,26.788462,63.955911,67.019743,63.955912,26.788463,86.360687,86.360687,67.019743,31.015227
461,102.000000,69.094036,62.300878,121.000000,126.000000,78.169219,78.031857,64.178784,99.438948,121.000000,88.000000,128.000000
463,43.515314,43.786202,49.908257,43.507791,62.397904,77.439224,56.794826,45.282735,85.649136,96.875067,73.378828,49.776732
